29,7,64,9,63,21,28,19
276,8,302,8,302,21,276,21
304,8,354,8,354,20,304,20
421,8,448,8,448,22,421,22
540,8,562,8,562,21,540,21
276,38,330,38,330,52,276,52
332,38,356,38,356,52,332,52
354,38,376,38,376,52,354,52
420,38,442,40,441,52,418,50
440,38,476,38,476,52,440,52
37,40,57,40,57,54,37,54
36,66,119,66,119,81,36,81
276,66,332,66,332,80,276,80
332,66,361,66,361,80,332,80
361,66,382,66,382,80,361,80
420,66,442,68,441,80,418,78
441,66,476,66,476,80,441,80
276,94,330,94,330,108,276,108
332,94,361,94,361,108,332,108
361,94,381,94,381,106,361,106
420,94,441,94,441,106,420,106
440,94,476,94,476,108,440,108
36,98,69,96,69,107,37,108
276,122,330,122,330,136,276,136
332,122,361,122,361,134,332,134
361,122,381,122,381,136,361,136
420,122,441,122,441,134,420,134
440,122,476,122,476,134,440,134
36,124,58,124,58,136,36,136
60,123,101,125,101,139,59,137
276,150,330,150,330,164,276,164
332,150,356,150,356,162,332,162
356,150,376,150,376,162,356,162
420,150,444,150,444,162,420,162
445,150,504,150,504,164,445,164
582,150,609,150,609,162,582,162
37,152,90,152,90,166,37,166
276,178,332,178,332,192,276,192
332,178,361,178,361,192,332,192
361,178,382,178,382,190,361,190
481,180,528,180,528,192,481,192
582,178,609,178,609,190,582,190
37,180,94,180,94,192,37,192
421,180,480,180,480,192,421,192
276,206,330,206,330,220,276,220
332,206,361,206,361,218,332,218
361,206,384,206,384,218,361,218
420,206,460,206,460,220,420,220
461,206,500,206,500,220,461,220
500,205,522,208,521,220,498,218
582,206,609,206,609,220,582,220
36,208,60,208,60,220,36,220
61,208,114,208,114,220,61,220
37,234,72,234,72,246,37,246
276,234,332,234,332,248,276,248
332,234,361,234,361,246,332,246
361,234,382,234,382,246,361,246
420,233,467,236,466,249,419,246
466,234,489,234,489,246,466,246
492,236,522,236,522,248,492,248
561,234,592,234,592,248,561,248
592,234,609,234,609,246,592,246
